Match,Team,Possession,Passes,Corner_Kicks,Fouls,Tackles,Yellow_Cards
Costa Rica vs Germany,Costa Rica,32,337,1,3,21,1
Costa Rica vs Germany,Germany,68,713,14,9,10,0
